data_bulletin;country;confirmed_cases;probable_cases;total_cases;total_deaths
2022-06-17;Belgium;62;0;62;NA
2022-06-17;Czechia;6;0;6;NA
2022-06-17;Denmark;4;0;4;NA
2022-06-17;France;111;0;111;NA
2022-06-17;Georgia;1;0;1;NA
2022-06-17;Greece;2;0;2;NA
2022-06-17;Hungary;6;0;6;NA
2022-06-17;Ireland;14;0;14;NA
2022-06-17;Italy;71;0;71;NA
2022-06-17;Latvia;2;0;2;NA
2022-06-17;Luxembourg;1;0;1;NA
2022-06-17;Malta;2;0;2;NA
2022-06-17;Norway;2;0;2;NA
2022-06-17;Poland;6;0;6;NA
2022-06-17;Romania;4;0;4;NA
2022-06-17;Slovenia;7;0;7;NA
2022-06-17;Sweden;11;0;11;NA
2022-06-17;United Kingdom;580;0;580;NA
2022-06-17;Total;892;0;892;NA
2022-06-22;Belgium;75;0;75;NA
2022-06-22;Czechia;6;0;6;NA
2022-06-22;Denmark;8;0;8;NA
2022-06-22;France;247;0;247;NA
2022-06-22;Georgia;1;0;1;NA
2022-06-22;Greece;2;1;3;NA
2022-06-22;Hungary;7;0;7;NA
2022-06-22;Iceland;3;0;3;NA
2022-06-22;Ireland;20;0;20;NA
2022-06-22;Italy;85;0;85;NA
2022-06-22;Latvia;2;0;2;NA
2022-06-22;Luxembourg;1;0;1;NA
2022-06-22;Malta;2;0;2;NA
2022-06-22;Norway;4;0;4;NA
2022-06-22;Poland;7;0;7;NA
2022-06-22;Romania;4;0;4;NA
2022-06-22;Slovenia;7;0;7;NA
2022-06-22;Spain;518;0;520;NA
2022-06-22;Sweden;13;0;13;NA
2022-06-22;United Kingdom;784;0;784;NA
2022-06-22;Total;1796;1;1799;NA
2022-06-29;Austria;19;0;19;NA
2022-06-29;Belgium;116;0;116;NA
2022-06-29;Bulgaria;2;0;2;NA
2022-06-29;Croatia;1;0;1;NA
2022-06-29;Czechia;8;0;8;NA
2022-06-29;Denmark;13;0;13;NA
2022-06-29;France;350;0;350;NA
2022-06-29;Georgia;1;0;1;NA
2022-06-29;Greece;4;2;6;NA
2022-06-29;Hungary;18;0;18;NA
2022-06-29;Iceland;3;0;3;NA
2022-06-29;Ireland;31;0;31;NA
2022-06-29;Italy;159;0;159;NA
2022-06-29;Latvia;2;0;2;NA
2022-06-29;Luxembourg;1;2;3;NA
2022-06-29;Malta;6;0;6;NA
2022-06-29;Netherlands;183;0;183;NA
2022-06-29;Norway;15;0;15;NA
2022-06-29;Poland;10;0;10;NA
2022-06-29;Portugal;242;0;242;NA
2022-06-29;Romania;7;0;7;NA
2022-06-29;Slovenia;9;0;9;NA
2022-06-29;Spain;736;0;736;NA
2022-06-29;Sweden;19;0;19;NA
2022-06-29;Switzerland;60;0;60;NA
2022-06-29;United Kingdom;1067;0;1067;NA
2022-06-29;Total;3082;4;3086;NA
2022-07-06;Austria;28;0;28;NA
2022-07-06;Belgium;168;1;169;NA
2022-07-06;Bulgaria;3;0;3;NA
2022-07-06;Croatia;1;0;1;NA
2022-07-06;Czechia;8;0;8;NA
2022-07-06;Denmark;24;0;24;NA
2022-07-06;Estonia;2;0;2;NA
2022-07-06;France;350;0;350;NA
2022-07-06;Georgia;1;0;1;NA
2022-07-06;Germany;1242;0;1242;NA
2022-07-06;Greece;6;0;6;NA
2022-07-06;Hungary;22;0;22;NA
2022-07-06;Iceland;3;0;3;NA
2022-07-06;Ireland;44;0;44;NA
2022-07-06;Italy;233;0;233;NA
2022-07-06;Latvia;2;0;2;NA
2022-07-06;Luxembourg;7;0;7;NA
2022-07-06;Malta;8;0;8;NA
2022-07-06;Netherlands;285;0;285;NA
2022-07-06;Norway;19;0;19;NA
2022-07-06;Poland;13;0;13;NA
2022-07-06;Portugal;242;0;242;NA
2022-07-06;Romania;12;0;12;NA
2022-07-06;Slovenia;9;0;9;NA
2022-07-06;Spain;1196;0;1196;NA
2022-07-06;Sweden;27;0;27;NA
2022-07-06;Switzerland;82;0;82;NA
2022-07-06;United Kingdom;1228;0;1228;NA
2022-07-06;Total;5265;1;5266;NA
2022-07-13;Austria;63;0;63;NA
2022-07-13;Belgium;224;1;225;NA
2022-07-13;Bulgaria;3;0;3;NA
2022-07-13;Croatia;1;0;1;NA
2022-07-13;Czechia;10;0;10;NA
2022-07-13;Denmark;24;0;24;NA
2022-07-13;Estonia;2;0;2;NA
2022-07-13;Finland;13;0;13;NA
2022-07-13;France;350;0;350;NA
2022-07-13;Georgia;1;0;1;NA
2022-07-13;Germany;1636;0;1636;NA
2022-07-13;Greece;12;0;12;NA
2022-07-13;Hungary;28;0;28;NA
2022-07-13;Iceland;5;0;5;NA
2022-07-13;Ireland;54;0;54;NA
2022-07-13;Italy;292;0;292;NA
