"data","region","cases","cumulative"
2022-06-17,"Basilicata",0,0
2022-06-17,"Calabria",0,0
2022-06-17,"Campania",1,1
2022-06-17,"Emilia-Romagna",1,8
2022-06-17,"Friuli-Venezia Giulia",0,2
2022-06-17,"Lazio",7,18
2022-06-17,"Liguria",0,0
2022-06-17,"Lombardia",11,33
2022-06-17,"Marche",0,0
2022-06-17,"Molise",0,0
2022-06-17,"Piemonte",1,2
2022-06-17,"Puglia",0,1
2022-06-17,"Sardegna",0,0
2022-06-17,"Sicilia",0,0
2022-06-17,"Toscana",0,1
2022-06-17,"PA Bolzano",0,0
2022-06-17,"PA Trento",0,1
2022-06-17,"Umbria",0,0
2022-06-17,"Valle d'Aosta",0,0
2022-06-17,"Veneto",0,4
2022-06-21,"Basilicata",0,0
2022-06-21,"Calabria",0,0
2022-06-21,"Campania",0,1
2022-06-21,"Emilia-Romagna",0,8
2022-06-21,"Friuli-Venezia Giulia",0,2
2022-06-21,"Lazio",7,25
2022-06-21,"Liguria",0,0
2022-06-21,"Lombardia",5,38
2022-06-21,"Marche",0,0
2022-06-21,"Molise",0,0
2022-06-21,"Piemonte",1,3
2022-06-21,"Puglia",0,1
2022-06-21,"Sardegna",0,0
2022-06-21,"Sicilia",0,0
2022-06-21,"Toscana",1,2
2022-06-21,"PA Bolzano",0,0
2022-06-21,"PA Trento",0,1
2022-06-21,"Umbria",0,0
2022-06-21,"Valle d'Aosta",0,0
2022-06-21,"Veneto",0,4
2022-06-24,"Basilicata",0,0
2022-06-24,"Calabria",0,0
2022-06-24,"Campania",0,1
2022-06-24,"Emilia-Romagna",4,12
2022-06-24,"Friuli-Venezia Giulia",1,3
2022-06-24,"Lazio",7,32
2022-06-24,"Liguria",0,0
2022-06-24,"Lombardia",26,64
2022-06-24,"Marche",0,0
2022-06-24,"Molise",0,0
2022-06-24,"Piemonte",2,5
2022-06-24,"Puglia",2,3
2022-06-24,"Sardegna",0,0
2022-06-24,"Sicilia",0,0
2022-06-24,"Toscana",0,2
2022-06-24,"PA Bolzano",0,0
2022-06-24,"PA Trento",0,1
2022-06-24,"Umbria",0,0
2022-06-24,"Valle d'Aosta",0,0
2022-06-24,"Veneto",0,4
2022-06-28,"Basilicata",0,0
2022-06-28,"Calabria",0,0
2022-06-28,"Campania",0,1
2022-06-28,"Emilia-Romagna",2,14
2022-06-28,"Friuli-Venezia Giulia",0,3
2022-06-28,"Lazio",7,39
2022-06-28,"Liguria",0,0
2022-06-28,"Lombardia",19,83
2022-06-28,"Marche",0,0
2022-06-28,"Molise",0,0
2022-06-28,"Piemonte",0,5
2022-06-28,"Puglia",2,5
2022-06-28,"Sardegna",0,0
2022-06-28,"Sicilia",0,0
2022-06-28,"Toscana",0,2
2022-06-28,"PA Bolzano",1,1
2022-06-28,"PA Trento",0,1
2022-06-28,"Umbria",0,0
2022-06-28,"Valle d'Aosta",0,0
2022-06-28,"Veneto",1,5
2022-07-01,"Basilicata",0,0
2022-07-01,"Calabria",0,0
2022-07-01,"Campania",0,1
2022-07-01,"Emilia-Romagna",3,17
2022-07-01,"Friuli-Venezia Giulia",0,3
2022-07-01,"Lazio",1,40
2022-07-01,"Liguria",0,0
2022-07-01,"Lombardia",26,109
2022-07-01,"Marche",0,0
2022-07-01,"Molise",0,0
2022-07-01,"Piemonte",0,5
2022-07-01,"Puglia",1,6
2022-07-01,"Sardegna",0,0
2022-07-01,"Sicilia",0,0
2022-07-01,"Toscana",0,2
2022-07-01,"PA Bolzano",0,1
2022-07-01,"PA Trento",0,1
2022-07-01,"Umbria",0,0
2022-07-01,"Valle d'Aosta",0,0
2022-07-01,"Veneto",2,7
2022-07-05,"Basilicata",0,0
2022-07-05,"Calabria",0,0
2022-07-05,"Campania",0,1
2022-07-05,"Emilia-Romagna",9,26
2022-07-05,"Friuli-Venezia Giulia",1,4
2022-07-05,"Lazio",7,47
2022-07-05,"Liguria",1,1
2022-07-05,"Lombardia",17,126
2022-07-05,"Marche",0,0
2022-07-05,"Molise",0,0
2022-07-05,"Piemonte",0,5
2022-07-05,"Puglia",0,6
2022-07-05,"Sardegna",0,0
2022-07-05,"Sicilia",0,0
2022-07-05,"Toscana",1,3
2022-07-05,"PA Bolzano",0,1
2022-07-05,"PA Trento",0,1
2022-07-05,"Umbria",0,0
2022-07-05,"Valle d'Aosta",0,0
2022-07-05,"Veneto",5,12
2022-07-08,"Basilicata",0,0
2022-07-08,"Calabria",0,0
2022-07-08,"Campania",0,1
2022-07-08,"Emilia-Romagna",5,31
2022-07-08,"Friuli-Venezia Giulia",0,4
2022-07-08,"Lazio",5,52
2022-07-08,"Liguria",0,1
2022-07-08,"Lombardia",9,135
2022-07-08,"Marche",1,1
2022-07-08,"Molise",0,0
2022-07-08,"Piemonte",1,6
2022-07-08,"Puglia",0,6
2022-07-08,"Sardegna",0,0
2022-07-08,"Sicilia",0,0
2022-07-08,"Toscana",0,3
2022-07-08,"PA Bolzano",0,1
2022-07-08,"PA Trento",0,1
2022-07-08,"Umbria",0,0
2022-07-08,"Valle d'Aosta",0,0
2022-07-08,"Veneto",1,13
2022-07-12,"Basilicata",0,0
2022-07-12,"Calabria",0,0
2022-07-12,"Campania",0,1
2022-07-12,"Emilia-Romagna",3,34
2022-07-12,"Friuli-Venezia Giulia",0,4
2022-07-12,"Lazio",14,66
2022-07-12,"Liguria",1,2
2022-07-12,"Lombardia",12,147
2022-07-12,"Marche",0,1
2022-07-12,"Molise",0,0
2022-07-12,"Piemonte",0,6
2022-07-12,"Puglia",1,7
2022-07-12,"Sardegna",0,0
2022-07-12,"Sicilia",0,0
2022-07-12,"Toscana",1,4
2022-07-12,"PA Bolzano",0,1
2022-07-12,"PA Trento",0,1
2022-07-12,"Umbria",0,0
2022-07-12,"Valle d'Aosta",0,0
2022-07-12,"Veneto",5,18
2022-07-15,"Basilicata",0,0
2022-07-15,"Calabria",0,0
2022-07-15,"Campania",2,3
2022-07-15,"Emilia-Romagna",8,42
2022-07-15,"Friuli-Venezia Giulia",2,6
2022-07-15,"Lazio",5,71
2022-07-15,"Liguria",3,5
2022-07-15,"Lombardia",17,164
2022-07-15,"Marche",1,2
2022-07-15,"Molise",0,0
2022-07-15,"Piemonte",0,6
2022-07-15,"Puglia",0,7
2022-07-15,"Sardegna",0,0
